id,bedrooms,price,reviews_per_month
15878524,2,100.00,2.57
3721679,1,49.00,3.43
4875696,6,80.00,0.56
6867439,2,47.00,0.05
13694719,0,64.00,5.02
515339,1,42.00,3.03
15719719,1,65.00,0.68
353750,1,39.00,4.58
17919639,1,32.00,
353713,1,39.00,5.09
15670159,1,49.00,
15157819,1,30.00,1.99
17707975,1,28.00,
3295836,2,60.00,0.81
14267340,1,79.00,0.24
14862987,1,110.00,
6829058,3,200.00,0.11
1170855,1,72.00,1.04
9952708,1,15.00,0.27
13950398,2,100.00,3.07
17163932,1,66.00,4.29
11200141,0,60.00,3.02
6672682,1,79.00,0.69
6219524,2,130.00,0.11
12925911,4,110.00,2.34
14245448,2,200.00,
8021798,1,45.00,0.73
17489545,1,54.00,6.67
9262393,2,90.00,1.38
14411443,1,50.00,0.29
15657035,1,75.00,
15843290,2,70.00,0.32
14865715,1,29.00,0.48
5335202,0,69.00,0.28
12124128,0,51.00,5.08
15984990,1,100.00,2.14
11954533,1,110.00,
14346671,1,43.00,0.66
6711954,1,62.00,0.32
17459979,3,160.00,1
7334704,2,150.00,0.22
14773056,2,100.00,0.92
10218330,3,192.00,0.33
17951621,1,35.00,
14773153,1,100.00,
15559586,1,85.00,
13429687,1,110.00,2.36
1665980,1,60.00,0.76
16525141,1,19.00,3.45
5499969,1,35.00,1.89
12479635,2,75.00,1.89
1666184,2,70.00,0.66
9727235,2,250.00,0.96
5860795,1,15.00,2.41
8449486,2,100.00,0.64
847318,1,70.00,1.52
16230330,2,115.00,0.94
14184054,0,43.00,2.36
13790852,1,65.00,0.14
11955916,2,120.00,0.10
10481379,3,160.00,0.09
3338005,1,61.00,2.44
13679919,1,70.00,2.69
5963083,1,58.00,4.00
11956234,1,110.00,0.08
2495151,2,135.00,1.22
1152744,1,15.00,0.49
1765529,1,52.00,1.09
11009394,1,200.00,0.77
17035580,1,65.00,3.26
18070933,0,44.00,
16151975,1,79.00,0.92
2355655,5,300.00,0.66
17920521,1,52.00,
717313,1,100.00,1.59
4026924,2,75.00,1.44
12776171,1,48.00,5.33
17986327,1,15.00,
4518901,0,50.00,
7304230,1,40.00,
12448860,2,110.00,0.17
3281779,2,45.00,
1471688,1,70.00,0.49
15725825,1,68.00,1.13
12219745,1,80.00,
17990467,1,80.00,
6551083,1,20.00,
6420062,1,75.00,0.28
15562393,1,85.00,3.42
7796518,2,100.00,0.22
