id,bedrooms,price,calculated_host_listings_count,review_scores_value
15482994,1,85.00,1,
10417282,1,60.00,1,
3424943,1,49.00,5,9
18691551,1,70.00,3,
20969932,1,60.00,4,6
15943342,3,750.00,1,10
4802299,1,150.00,1,8
13911835,1,99.00,1,9
12011525,1,120.00,2,10
17254411,1,130.00,2,9
12404998,1,120.00,1,6
9652591,1,65.00,1,10
18041519,2,250.00,1,
9652949,1,60.00,2,9
19197983,1,69.00,1,10
2051013,0,78.00,1,10
11357269,1,120.00,1,10
18566623,1,99.00,1,10
20794951,1,93.00,1,10
18829017,1,15.00,2,10
7491626,1,95.00,1,10
21057638,2,70.00,1,
16208177,1,65.00,1,10
20010178,1,65.00,1,8
14112354,1,40.00,1,
9131682,1,100.00,2,
19748553,1,45.00,3,9
9131802,2,170.00,2,9
17774954,1,85.00,2,10
20535730,1,230.00,1,
2461540,1,75.00,1,10
482969,1,165.00,2,9
3497765,1,90.00,1,9
16377144,1,59.00,1,
3760029,,100.00,1,10
7561257,1,89.00,2,9
19193758,1,55.00,1,9
20996434,1,115.00,1,
19227106,1,75.00,1,10
16737042,1,60.00,1,
20702691,1,110.00,1,
19818013,3,25.00,3,10
2942505,1,58.00,1,9
19228028,1,60.00,2,10
20932035,1,50.00,1,10
13329860,1,109.00,1,9
9528959,1,99.00,1,9
17513491,0,75.00,1,10
1107299,1,75.00,1,
2065296,1,140.00,1,10
15434742,1,90.00,1,10
9734420,2,99.00,1,10
15436402,1,80.00,1,10
13208233,0,69.00,1,
9821359,1,30.00,1,
20417560,4,600.00,3,
13732992,2,170.00,1,10
15855156,1,55.00,2,9
13997552,2,135.00,1,10
13811462,1,85.00,1,10
9211534,1,70.00,1,
13811666,1,40.00,1,9
7387950,1,46.00,2,10
21022242,1,51.00,4,
6731564,1,120.00,1,
7387846,1,59.00,2,8
16693953,1,79.00,2,10
8953625,1,46.00,5,10
11712801,1,50.00,1,
4660939,1,120.00,2,9
13924403,1,55.00,1,
4109420,2,110.00,2,10
9794402,1,100.00,1,8
18707185,2,151.00,4,9
1356471,1,75.00,1,
19575994,0,100.00,1,10
14070967,1,150.00,1,10
9089397,1,50.00,1,8
9334840,1,70.00,1,
10782718,0,75.00,1,
18008155,2,60.00,4,9
9056804,1,75.00,1,
20498407,0,106.00,1,10
20454676,2,190.00,1,10
13544682,1,135.00,1,9
15772854,1,50.00,1,10
19967115,1,80.00,1,10
13151075,1,50.00,1,
978386,1,100.00,1,9
9989616,1,55.00,1,
11234747,1,180.00,2,10
13413795,1,185.00,1,10
2141549,2,222.00,1,9
6072842,1,75.00,1,9
12626405,1,169.00,2,
12872742,1,95.00,1,9
4987929,1,100.00,1,10
17224136,1,122.00,1,10
19965684,0,200.00,1,10
11970285,3,227.00,1,7
8704348,1,135.00,1,9
2532873,1,100.00,2,10
6467956,1,50.00,6,10
20359268,1,150.00,1,10
16019599,1,75.00,1,
14984002,3,500.00,1,10
11060749,0,70.00,1,9
